CustomerID,Name,Gender,DOB,City,Occupation,KYC,Segment
C00001,Cust1,F,1966-10-07,Mumbai,Salaried,Y,Retail
C00002,Cust2,M,1976-05-27,Guwahati,Salaried,Y,HNI
C00003,Cust3,M,1961-09-06,Agartala,Professional,Y,Premium
C00004,Cust4,M,1970-10-18,Agartala,Professional,Y,Retail
C00005,Cust5,M,1970-01-05,Guwahati,Salaried,Y,HNI
C00006,Cust6,F,1962-03-23,Kolkata,Salaried,Y,HNI
C00007,Cust7,M,1972-12-27,Mumbai,Business,Y,HNI
C00008,Cust8,M,1985-08-10,Delhi,Business,Y,Retail
C00009,Cust9,M,1976-09-14,Agartala,Salaried,Y,HNI
C00010,Cust10,M,1987-10-07,Kolkata,Professional,Y,HNI
C00011,Cust11,F,1994-11-12,Delhi,Professional,Y,HNI
C00012,Cust12,F,1976-03-21,Delhi,Business,Y,Retail
C00013,Cust13,M,1963-09-03,Guwahati,Govt,Y,HNI
C00014,Cust14,F,1999-04-04,Delhi,Professional,Y,Premium
C00015,Cust15,M,1965-04-18,Guwahati,Professional,Y,Retail
C00016,Cust16,F,1966-10-26,Mumbai,Professional,Y,Retail
C00017,Cust17,M,1994-04-18,Guwahati,Govt,Y,Premium
C00018,Cust18,F,1986-08-30,Mumbai,Professional,Y,Retail
C00019,Cust19,M,1972-02-09,Mumbai,Salaried,Y,Retail
C00020,Cust20,F,1989-01-10,Guwahati,Professional,Y,Premium
C00021,Cust21,F,1999-10-16,Delhi,Salaried,Y,Premium
C00022,Cust22,F,1967-07-16,Guwahati,Salaried,Y,Premium
C00023,Cust23,M,1969-10-15,Delhi,Business,Y,HNI
C00024,Cust24,M,1977-11-06,Mumbai,Professional,Y,Retail
C00025,Cust25,M,1980-02-24,Mumbai,Govt,Y,Retail
C00026,Cust26,F,1998-10-03,Guwahati,Govt,Y,HNI
C00027,Cust27,F,1976-02-04,Mumbai,Business,Y,Retail
C00028,Cust28,M,1967-11-27,Kolkata,Business,Y,HNI
C00029,Cust29,M,1960-07-16,Mumbai,Business,Y,Premium
C00030,Cust30,F,1960-03-08,Kolkata,Professional,Y,HNI
C00031,Cust31,F,1987-05-10,Guwahati,Govt,Y,Retail
C00032,Cust32,M,1980-06-25,Guwahati,Professional,Y,Premium
C00033,Cust33,F,1977-09-05,Agartala,Professional,Y,HNI
C00034,Cust34,F,1962-10-16,Kolkata,Salaried,Y,Retail
C00035,Cust35,F,1967-04-13,Agartala,Govt,Y,HNI
C00036,Cust36,M,1964-08-04,Agartala,Business,Y,HNI
C00037,Cust37,M,1976-04-23,Guwahati,Salaried,Y,Retail
C00038,Cust38,M,1987-07-18,Mumbai,Business,Y,HNI
C00039,Cust39,F,1975-08-01,Guwahati,Govt,Y,Premium
C00040,Cust40,M,1965-03-04,Mumbai,Professional,Y,Premium
C00041,Cust41,F,1973-12-27,Agartala,Business,Y,Retail
C00042,Cust42,F,1993-03-17,Delhi,Professional,Y,HNI
C00043,Cust43,M,1983-02-28,Agartala,Business,Y,HNI
C00044,Cust44,F,1966-07-29,Guwahati,Salaried,Y,HNI
C00045,Cust45,F,1988-11-02,Agartala,Govt,Y,HNI
C00046,Cust46,F,2000-09-27,Kolkata,Govt,Y,Retail
C00047,Cust47,F,1988-07-19,Kolkata,Business,Y,Retail
C00048,Cust48,F,1993-03-10,Kolkata,Business,Y,HNI
C00049,Cust49,F,1975-12-13,Agartala,Salaried,Y,Premium
C00050,Cust50,F,1971-08-17,Kolkata,Govt,Y,Premium
C00051,Cust51,F,1976-05-10,Agartala,Business,Y,Retail
C00052,Cust52,M,1981-01-31,Kolkata,Govt,Y,Retail
C00053,Cust53,F,1987-12-29,Guwahati,Salaried,Y,Premium
C00054,Cust54,F,1995-11-14,Agartala,Salaried,Y,Premium
C00055,Cust55,M,1981-06-11,Kolkata,Professional,Y,HNI
C00056,Cust56,F,1963-11-22,Mumbai,Professional,Y,Premium
C00057,Cust57,M,1992-07-06,Kolkata,Business,Y,Retail
